,,,,Q_4530,Q_4541,Q_4539,Q_4531,Q_4542,Q_4540,Q_4532,Q_4533,Q_4534,Q_4535,Q_4536,Q_4537,Q_5305,Q_5296,Q_4538,Q_4543,Q_4544,Q_4994,Q_4545,Q_4546,Q_4547,Q_4548,Q_4549,Q_4550,"External ID","Alert Times",Model,OS
"2022-01-18 19:23:06","2022-01-18 19:23:05",frug-xl3j7,"Beeped Survey 3",15.86,85.55,1,88.24,21.95,12.89,4,"6,5,4",NA,"1,2",83.00,NA,N/A,5,N/A,NA,41F6C204-13B3-4A2B-B73D-86BD0B11F9CB,D71C6E36-61BD-4EFC-B44F-35DB442664C1,8BC0C795-1435-4F99-9FA6-96919516D03B,5FCC5BC1-8791-4AED-BB9E-5E9AB3CED5C9,NA,2,N/A,N/A,"iOS_18Jan2022, Check_stickiness",N/A,N/A,N/A
"2022-01-19 07:12:49","2022-01-19 07:12:49",frug-xl3j7,"Beeped Survey 3",20.11,N/A,N/A,75.64,N/A,N/A,5,2,NA,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"iOS_18Jan2022, Check_stickiness",N/A,N/A,N/A
"2022-01-19 11:29:14","2022-01-19 11:29:14",frug-xl3j7,"Beeped Survey 3",N/A,N/A,2,22.10,N/A,N/A,5,5,NA,2,84.56,NA,N/A,5,N/A,N/A,N/A,7BA17FD6-BF8A-436A-8446-7A252C79D6DE,N/A,N/A,N/A,N/A,N/A,N/A,"iOS_18Jan2022, Check_stickiness",N/A,N/A,N/A
"2022-01-19 11:29:15","2022-01-19 11:29:14",frug-xl3j7,"Beeped Survey 3",17.85,21.53,"6,5",83.85,75.21,81.73,6,"2,4",NA,5,21.53,NA,N/A,3,N/A,NA,423E3E95-72F6-4E9B-966A-A5BE854855FD,33E719AA-451B-48B3-ABD3-2061161F75A8,9C78D3A5-975D-4611-9704-B6D143E080E8,3854EFFF-22B5-4F88-AD56-57407F83E8DC,NA,2,N/A,N/A,"iOS_18Jan2022, Check_stickiness",N/A,N/A,N/A
"2022-01-19 19:13:51","2022-01-19 19:13:49",idol-pp00v,"Beeped Survey 3",26.00,83.00,N/A,80.00,20.00,N/A,6,"5,6,7,8",N/A,2,17.00,N/A,N/A,6,N/A,N/A,b9fa1555-026f-4cc2-b7f9-d10efbf1103f,89301a08-a5d5-48b6-8688-346daa8592a4,fab9f983-f9bb-4f86-a317-66229ec5c85a,46c6d583-9147-487e-ac5a-6a37de77b67d,N/A,2,N/A,N/A,Android_18Jan2022,N/A,SM-G970U,11
"2022-01-19 20:14:24","2022-01-19 20:14:23",fend-6lh42,"Beeped Survey 3",24.00,N/A,N/A,83.00,N/A,N/A,6,"3,5",N/A,"3,1",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,miA2_19Jan2022a,N/A,"Mi A2",8.1.0
"2022-01-19 20:14:24","2022-01-19 18:44:32",fend-6lh42,"Beeped Survey 3",16.00,N/A,N/A,80.00,N/A,N/A,5,5,N/A,4,25.00,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,miA2_19Jan2022a,N/A,"Mi A2",8.1.0
"2022-01-20 07:20:32","2022-01-19 19:17:49",idol-pp00v,"Beeped Survey 3",20.00,77.00,N/A,82.00,25.00,N/A,5,"6,5",N/A,3,24.00,N/A,N/A,4,N/A,N/A,ecc0b238-7789-43fe-8b2f-aef078da8b9d,6396133a-7d62-45c5-9fdd-97e1a2a1f44c,N/A,N/A,N/A,N/A,N/A,N/A,Android_18Jan2022,N/A,SM-G970U,11
"2022-01-20 10:01:24","2022-01-20 10:01:23",frug-xl3j7,"Beeped Survey 3",19.97,N/A,N/A,76.77,N/A,N/A,6,"3,5",NA,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"iOS_18Jan2022, Check_stickiness",N/A,N/A,N/A
"2022-01-20 10:01:24","2022-01-20 10:01:23",frug-xl3j7,"Beeped Survey 3",20.40,N/A,N/A,83.71,N/A,N/A,6,2,NA,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"iOS_18Jan2022, Check_stickiness",N/A,N/A,N/A
"2022-01-20 10:01:24","2022-01-20 10:01:23",frug-xl3j7,"Beeped Survey 3",24.08,80.88,1,74.65,22.52,21.10,6,3,NA,3,17.42,NA,N/A,1,N/A,NA,DF5CC609-B1A0-4D4B-A574-620A8A254587,CECF00AE-A353-492D-AECB-D5731F4CF746,N/A,N/A,N/A,N/A,N/A,N/A,"iOS_18Jan2022, Check_stickiness",N/A,N/A,N/A
"2022-01-20 10:01:24","2022-01-20 10:01:23",frug-xl3j7,"Beeped Survey 3",19.55,N/A,N/A,83.71,N/A,N/A,6,4,NA,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"iOS_18Jan2022, Check_stickiness",N/A,N/A,N/A
"2022-01-20 13:25:51","2022-01-20 13:25:49",clary-sp0jp,"Beeped Survey 3",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,N/A,N/A,NA,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,j,N/A,N/A,N/A
"2022-01-20 13:25:51","2022-01-20 13:25:49",clary-sp0jp,"Beeped Survey 3",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,N/A,N/A,NA,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,j,N/A,N/A,N/A
"2022-01-20 19:55:11","2022-01-20 19:55:10",fend-6lh42,"Beeped Survey 3",79.00,N/A,N/A,24.00,N/A,N/A,4,"5,6,7",N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,miA2_19Jan2022a,N/A,"Mi A2",8.1.0
"2022-01-20 21:01:10","2022-01-20 21:01:10",along-p98t6,"Beeped Survey 3",81.00,21.00,N/A,23.00,61.00,N/A,8,"7,8",N/A,"8,9",24.00,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,S10e_20Jan2022,N/A,SM-G970U,11
"2022-01-21 18:36:43","2022-01-21 18:36:41",axon-wl690,"Beeped Survey 3",84.00,N/A,"1,4",24.00,N/A,51.00,1,1,N/A,"3,4,5",34.00,N/A,N/A,1,N/A,N/A,7e310f3d-0821-45ed-a9fe-17e5afa8bc51,a0f6df03-c694-4b0b-ac54-278a5ff65407,356ffec6-f725-4c4e-b551-e373b99335e1,b20ef877-f3a0-48fd-9c64-61b343e6ef79,N/A,1,3,N/A,21Jan2022,N/A,SM-G970U,11
"2022-01-22 20:24:36","2022-01-22 20:24:34",bevy-qy3l1,"Beeped Survey 3",88.00,82.00,N/A,18.00,21.00,N/A,6,"3,6",N/A,"3,5",20.00,N/A,N/A,4,N/A,N/A,338bbe4d-a8e7-4675-8cbc-6dd0665d17ae,10d72147-602f-4039-a9da-e4e524756b61,f127be58-69e9-42c0-ba10-4f923caebfc7,86cd4b4b-260c-4836-b2cf-cdcd87dec35c,N/A,1,"5,4,3,2,1",N/A,Start22Jan2022_S10e,N/A,SM-G970U,11
"2022-01-22 20:30:46","2022-01-22 20:30:46",lobo-at8n4,"Beeped Survey 3",77.00,85.00,N/A,25.00,26.00,N/A,6,"4,6",N/A,5,20.00,N/A,N/A,4,N/A,N/A,8d67b292-9c5b-4829-a93c-55fb89550ae9,85479218-7faf-4d85-ac71-6e4608c0ba93,1b913126-e9a8-411e-8a13-9b7b44a9e80f,20e9e98c-9a4f-45b9-99b9-af90ef2b3173,N/A,2,N/A,N/A,MiA2_22Jan2022_4,N/A,"Mi A2",8.1.0
"2022-01-24 17:29:10","2022-01-24 17:29:10",besom-sx3mn,"Beeped Survey 3",18.00,N/A,N/A,76.00,N/A,N/A,4,8,N/A,"2,4",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24Jan2022-test,N/A,SM-G970U,11
"2022-01-25 07:07:50","2022-01-25 07:07:50",feyer-hf3s4,"Beeped Survey 3",74,15,N/A,22,79,N/A,4,3,NA,"2,4",79,N/A,NA,4,N/A,NA,0FE4824E-0234-40A7-9D82-7C0E4BA13D6D,93C3117E-45CB-4542-BEA1-51150B7D95B7,36D1ADC5-C030-43F3-B7C4-B15534D1CE49,96BF66A9-C70C-4751-A04C-E993016B6320,NA,2,N/A,N/A,iOS7_24Jan,"2022-01-24 17:18:00","iPhone9,1","iOS 15.2.1"
"2022-01-25 13:03:21","2022-01-25 13:03:21",soba-in7ah,"Beeped Survey 3",89,N/A,N/A,20,N/A,N/A,4,6,NA,4,78,N/A,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,StickyScreenTest,"2022-01-24 21:36:00","iPhone13,3","iOS 15.2.1"
"2022-01-25 21:13:11","2022-01-25 21:13:10",benny-yq5b5,"Beeped Survey 3",29.00,N/A,N/A,83.00,N/A,N/A,3,1,N/A,"6,5,4",79.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mi6_25Jan,N/A,"Mi A2",8.1.0
"2022-01-26 16:48:42","2022-01-26 16:48:42",math-yw88g,"Beeped Survey 3",18.00,16.00,N/A,79.00,87.00,N/A,5,"5,3",N/A,"4,3,2",94.00,N/A,N/A,3,N/A,N/A,e8571453-33b6-407e-9039-c5a2d8aea355,031163c3-a043-4062-8dba-1f8504c1de4e,c1a37080-1ed9-42fd-b2bf-cc392b8d4b65,6b76b79c-980d-43cf-974b-84a28e5a5652,N/A,2,N/A,N/A,MiA4_26Jan,N/A,"Mi A2",8.1.0
"2022-01-26 17:07:56","2022-01-26 17:07:55",escar-vi0z3,"Beeped Survey 3",81,77,N/A,17,19,N/A,6,"2,4",NA,3,82,N/A,NA,3,N/A,NA,1BED9CEB-1DC6-4FB4-B3B1-07484BECA681,5D3EA993-EA3A-419D-9A0B-CD2E9D0F51B5,BD3B5987-3AFE-402D-9AC0-0786CC4C1CF1,E9C948E6-09EF-4595-A5DF-6EBC3BE5C284,NA,2,N/A,N/A,24Jan2022_iOS,"2022-01-26 16:43:00","iPhone11,8","iOS 15.1"
"2022-01-26 17:16:48","2022-01-26 17:16:46",limo-f8i9a,"Beeped Survey 3",18.00,26.00,N/A,89.00,86.00,N/A,6,"4,5",N/A,"4,3",86.00,N/A,N/A,4,N/A,N/A,3e85a712-2326-4420-82dc-9d10490f7dd1,6555cfb2-749e-45ff-ab51-1f2a4128c590,5ecd8263-3657-4699-8092-a25fd3e9bd5a,470f5837-1dd5-4869-8ad8-6fc99328b340,N/A,2,N/A,N/A,Mi20_25Jan,N/A,"Mi A2",8.1.0
"2022-01-26 17:33:03","2022-01-26 17:33:02",sumo-1wi4e,"Beeped Survey 3",25.00,80.00,N/A,82.00,19.00,N/A,5,"2,5",N/A,"1,4",19.00,N/A,N/A,4,N/A,N/A,04f7b292-0c5e-4eaf-97a8-2df1c503346b,9ef4e0e2-1e43-49da-82f5-8db84d1db987,54026e5d-d71a-457b-b217-b522445f31db,bc59cf18-b054-488c-8c34-d00a980773c0,N/A,2,N/A,N/A,DataUploadTest_25Jan,N/A,SM-G970U,11
"2022-01-28 17:30:49","2022-01-28 17:30:49",math-yw88g,"Beeped Survey 3",80.00,30.00,N/A,27.00,25.00,N/A,5,3,N/A,3,71.00,N/A,N/A,4,N/A,N/A,c04635fc-59c2-4615-af30-3da0b8ac13a5,78d448f1-e6fc-498e-b5cf-ed71ec5dd416,db59ac08-a98b-44cb-b14f-d965c512ae9e,e700e961-8cc7-4eeb-8cc1-09311b8719f1,N/A,2,N/A,N/A,MiA4_26Jan,N/A,"Mi A2",8.1.0
"2022-01-30 08:41:28","2022-01-29 17:10:58",airer-jc0sm,"Beeped Survey 3",76.00,N/A,3,32.00,N/A,73.00,6,5,N/A,4,76.00,N/A,N/A,1,N/A,N/A,N/A,972dfee7-1cb5-4181-8b39-e75932cdf338,N/A,N/A,N/A,N/A,N/A,N/A,29Jan_S10e,N/A,SM-G970U,11
"2022-01-31 07:53:40","2022-01-30 17:05:22",airer-jc0sm,"Beeped Survey 3",24.00,82.00,N/A,84.00,28.00,N/A,N/A,"3,5",N/A,3,20.00,N/A,N/A,3,N/A,N/A,N/A,7ab6f751-9433-4352-a22d-d6a607f91786,N/A,N/A,N/A,N/A,N/A,N/A,29Jan_S10e,N/A,SM-G970U,11
"2022-02-02 03:18:55","2022-02-02 03:18:54",batch-77nk2,"Beeped Survey 3",22.00,25.00,N/A,71.00,69.00,N/A,5,7,N/A,3,22.00,N/A,N/A,4,N/A,N/A,0a13258d-1507-4088-a07f-1a529e23d883,b5a198f0-0590-4794-ac46-5e753015f1ce,a7fe5caf-bfdf-4b98-8d50-d0e28c12197f,16d5c7e4-2e95-4c83-9800-f27e4b42305f,N/A,2,N/A,N/A,01Feb2022_s10e,N/A,SM-G970U,11
"2022-02-02 12:57:42","2022-02-02 09:57:41",dumpy-xw5sz,"Beeped Survey 3",68,N/A,2,72,N/A,30,4,1,NA,4,75,N/A,NA,1,N/A,NA,5F76E3D6-4EDA-4594-85A3-6D9EF3A3096D,1E7C0A62-9813-4988-B888-53E82DF43293,4880211F-50E7-4D81-839E-F511388E6FAB,1E8EC9B5-95F2-428B-93DB-916DA68C9178,NA,2,N/A,N/A,0013,N/A,"iPhone11,8","iOS 15.2.1"
"2022-02-04 17:17:42","2022-02-04 17:17:40",drank-as4nj,"Beeped Survey 3",27.00,N/A,N/A,79.00,N/A,N/A,4,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,UploadCheck,N/A,"Mi A2",8.1.0
"2022-02-04 17:17:43","2022-02-04 17:15:30",drank-as4nj,"Beeped Survey 3",78.00,34.00,N/A,25.00,77.00,N/A,5,3,N/A,4,76.00,N/A,N/A,5,N/A,N/A,N/A,042153f3-9b9f-4f3c-bda7-5379b1af30c3,N/A,N/A,N/A,N/A,N/A,N/A,UploadCheck,N/A,"Mi A2",8.1.0
"2022-02-04 21:24:04","2022-02-04 18:24:03",bank-ly7om,"Beeped Survey 3",70,56,N/A,33,50,N/A,1,1,NA,11,29,N/A,NA,2,N/A,NA,N/A,4D9C434D-D283-4746-B3F0-027331FE673E,N/A,N/A,N/A,N/A,N/A,N/A,9999_ucr,"2022-02-04 17:20:00","iPhone12,3","iOS 15.2.1"
"2022-02-04 21:24:04","2022-02-04 18:24:03",bank-ly7om,"Beeped Survey 3",33,81,N/A,30,54,N/A,1,1,NA,7,34,N/A,NA,5,N/A,NA,N/A,9F465C2A-620F-43CD-8278-B4740D1D50E0,N/A,N/A,N/A,N/A,N/A,N/A,9999_ucr,N/A,"iPhone12,3","iOS 15.2.1"
"2022-02-06 16:39:56","2022-02-06 16:39:54",drank-as4nj,"Beeped Survey 3",0.00,N/A,"4,5",100.00,N/A,N/A,7,"2,3,4",N/A,"2,4,6,8,10,12",50.00,N/A,N/A,1,N/A,N/A,779c051f-76cc-4b1b-8a06-a2ec05248f8b,dea482b8-ec1c-4240-a34d-8de5abbfcc40,322c58ec-5522-4f1c-9241-a0dff0a50b19,03606e5c-98f5-42ff-a0d3-11b393394007,N/A,2,N/A,N/A,UploadCheck,N/A,"Mi A2",8.1.0
"2022-02-06 16:39:56","2022-02-06 16:39:56",fezzy-w56m0,"Beeped Survey 3",100.00,12.00,N/A,0.00,87.00,N/A,3,"4,5,6",N/A,"1,3,5",37.00,N/A,N/A,6,N/A,N/A,30384012-e49f-484f-bd03-a74fb0a0d1c7,c6e45683-d5c8-4e0d-91ec-d76607208a56,dfa099d0-00c9-4492-8886-161d429abcf9,599b3174-b5fa-47e8-bd0f-0e014394e815,N/A,2,N/A,N/A,S10e_06Feb2022,N/A,SM-G970U,11
"2022-02-08 11:25:44","2022-02-08 19:14:22",allee-vc51p,"Beeped Survey 3",58.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"test, test","2022-02-08 19:14:15",SM-G950U,9
"2022-02-08 11:57:43","2022-02-08 11:57:43",allee-vc51p,"Beeped Survey 3",64.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"test, test",N/A,SM-G950U,9
"2022-02-09 00:13:49","2022-02-08 21:13:49",bulky-uw0ou,"Beeped Survey 3",0,62,N/A,63,58,N/A,1,4,NA,7,11,N/A,NA,5,N/A,NA,E6486438-4A3C-472B-8DAE-7B0F9C3C9671,B35223A7-6B81-465F-BB84-96B52D398DD8,5B7530E7-AC74-4A8B-B059-696F974402B7,0FD30576-812B-42F1-BC71-FAE7CEBF0B98,NA,2,N/A,N/A,9999_ucr,N/A,"iPhone12,1","iOS 14.8.1"
