,,,Q_4463,Q_4474,Q_4472,Q_4464,Q_4959,Q_4475,Q_4473,Q_4465,Q_4466,Q_4467,Q_4468,Q_4469,Q_4470,Q_4471,Q_5295,Q_4476,Q_4481,Q_4958,Q_4477,Q_4478,Q_4482,Q_4479,Q_4483,Q_4480,"External ID"
"2021-11-29 13:46:24","2021-11-29 13:45:22",meds-25rc1,83.00,78.00,N/A,23.00,N/A,17.00,N/A,5,5,N/A,3,73.00,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"2021-11-29 19:12:55","2021-11-29 19:12:56",comp-pg7y7,90.00,76.00,N/A,18.00,N/A,17.00,N/A,3,5,N/A,4,77.00,N/A,3,N/A,N/A,45593890-f227-4078-970f-6ecf03a6c833,N/A,N/A,1,e4623954-1ffd-419c-9f94-817f5922da53,4,fcb8c556-7982-4459-a5a3-2573e95bbae2,N/A,N/A
"2021-12-03 09:11:47","2021-12-02 13:40:51",comp-pg7y7,31.00,72.00,N/A,78.00,N/A,24.00,N/A,4,5,N/A,3,73.00,N/A,2,N/A,N/A,2fc02d34-d587-438d-a704-d23992e954bb,N/A,N/A,N/A,db3c4ac4-24ff-4756-b103-3a7474b45766,N/A,N/A,N/A,N/A
"2021-12-06 09:39:37","2021-12-06 09:39:34",cupid-yt82o,85.00,83.00,N/A,16.00,N/A,17.00,N/A,4,6,N/A,3,78.00,N/A,3,N/A,N/A,6319b732-fed9-443b-98cd-66d55fe09d23,N/A,N/A,2,9c9295a6-571c-47d1-9b85-91f605066bef,N/A,b3ea8abc-850e-47cd-bb47-4b9e341f8fa9,N/A,N/A
"2021-12-06 11:59:11","2021-12-06 11:59:10",aurei-kt0kp,80.00,23.00,N/A,8.00,N/A,75.00,N/A,5,5,N/A,"7,12",74.00,N/A,6,N/A,N/A,N/A,ade5f9f3-7b8b-44e6-9344-b73b1991d8ff,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"2021-12-06 11:59:11","2021-12-06 11:38:16",aurei-kt0kp,67.00,72.00,N/A,25.00,N/A,24.00,N/A,7,"5,6",N/A,11,70.00,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"2021-12-06 12:13:30","2021-12-06 12:13:30",aurei-kt0kp,27.00,N/A,N/A,87.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"2021-12-06 16:19:14","2021-12-06 16:19:12",daces-zr7cc,21.00,12.00,N/A,17.00,N/A,58.00,N/A,5,5,N/A,3,18.00,N/A,4,N/A,N/A,b20de3fc-fd81-416c-926d-c7867af40c84,77043c7b-7c88-4da4-81d7-230320ed9f55,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"2021-12-06 16:44:25","2021-12-06 16:44:21",forex-n8y1p,21.00,16.00,N/A,18.00,N/A,83.00,N/A,6,4,N/A,2,87.00,N/A,3,N/A,N/A,eda42d2c-1f90-456c-a103-b05d6f900fec,f5112fc8-3b2d-4407-924b-3077dc1e12c5,N/A,N/A,N/A,N/A,N/A,N/A,9999
"2021-12-06 16:45:23","2021-12-06 16:45:22",forex-n8y1p,16.00,21.00,N/A,77.00,N/A,88.00,N/A,N/A,3,N/A,3,84.00,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9999
"2021-12-06 17:18:15","2021-12-06 17:18:17",ichs-3h8f7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9999
"2021-12-06 17:24:23","2021-12-06 17:24:19",forex-n8y1p,20.00,14.00,N/A,76.00,N/A,16.00,N/A,5,7,N/A,3,76.00,N/A,4,N/A,N/A,d392f4df-1bf5-49d9-b2fd-5ca8935b2c61,39f9bc0d-6fe5-4772-acf4-7e3207a37fc0,N/A,1,f746520f-4baa-48a1-837e-4a845fc01ac2,3,d764935f-d679-4210-bbbd-141a5f4d9421,N/A,9999
"2021-12-06 18:25:20","2021-12-06 18:25:19",forex-n8y1p,83.00,13.00,N/A,24.00,N/A,84.00,N/A,5,5,N/A,4,73.00,N/A,5,N/A,N/A,N/A,7f275ca8-c274-4c35-8f59-db4e46637673,N/A,N/A,N/A,N/A,N/A,N/A,9999
"2021-12-06 20:18:32","2021-12-06 20:18:32",blink-d2y7q,87.68,80.45,5,17.28,N/A,25.78,80.17,6,3,NA,5,76.35,NA,4,N/A,NA,970C07CD-C8B9-41DB-8EB7-B2C9D3C2BD59,2F30D264-D8EB-4785-BBD5-40A929A0724B,NA,1,98834E33-B156-4C13-B9F5-E8EF91A617E6,3,96E8A01F-E1A4-4342-BBF0-20F19CE9A91F,N/A,9999
"2021-12-06 20:18:32","2021-12-06 20:18:32",blink-d2y7q,83.57,23.80,5,88.67,N/A,81.73,19.97,6,3,NA,3,84.84,NA,4,N/A,NA,A0EB3FC0-DFDA-49A3-9169-F4831FDDA798,31ADC1F2-6404-4974-ACA2-B09431A8B328,N/A,N/A,388FC7FA-16D0-47AD-8202-C6B222166107,N/A,N/A,N/A,9999
"2021-12-06 20:18:32","2021-12-06 20:18:32",blink-d2y7q,N/A,82.29,6,26.63,N/A,23.51,75.21,6,4,NA,4,19.83,NA,6,N/A,NA,N/A,584C2DD1-594F-4C5D-80D6-A2DB37602E22,N/A,N/A,N/A,N/A,N/A,N/A,9999
"2021-12-06 21:41:18","2021-12-06 21:41:15",forex-n8y1p,80.00,76.00,N/A,24.00,N/A,25.00,N/A,6,"4,7",N/A,"3,11",82.00,N/A,4,N/A,N/A,5a40aab6-7ca9-4214-89b5-65901b432e94,6417c168-0f81-4585-a322-e7c857b6839d,N/A,2,3af46371-28a9-4ac5-a47e-9ea051ee5795,N/A,49fbb525-4005-4624-8b7f-fea15884bea0,N/A,9999
"2021-12-09 13:25:01","2021-12-09 13:25:00",acros-dl87q,29.00,80.00,N/A,86.00,N/A,20.00,N/A,5,"4,6",N/A,"3,4",76.00,N/A,3,N/A,N/A,7c3aa85c-f020-472d-9896-9d2e78dc907f,00289eca-1b24-4009-b259-176c311d981d,N/A,N/A,eae9a1a5-6341-4968-a8a4-6d5f2dd585e8,N/A,N/A,N/A,9999
"2021-12-09 13:55:57","2021-12-09 13:55:56",chunk-en7ca,27.48,78.33,5,13.46,N/A,81.87,76.91,4,4,NA,3,84.99,NA,6,N/A,NA,B831F6C4-F053-422B-AFF0-92AC82825A06,42490A75-0982-4F56-A27C-694FF868D526,NA,1,887BD081-1512-496F-A30F-DC7FF0DD8A82,4,15D53BED-7C2F-4470-B02F-6C43BE42F149,N/A,9999
"2021-12-09 13:55:59","2021-12-09 13:55:57",bawns-c43w9,81.00,93.00,N/A,87.00,N/A,18.00,N/A,5,6,N/A,4,94.00,N/A,5,N/A,N/A,8e621067-b271-4764-9bd1-2bdda7eb439c,c43d28a9-0894-48ec-975e-5b135dfa15a0,N/A,1,69296243-348e-460e-a5fb-9f2e80aebb9d,2,ef826ffe-51a9-4c4c-8990-790b23249fbc,N/A,9999
"2021-12-09 17:03:21","2021-12-09 17:03:21",gods-7bf9h,85.00,20.00,N/A,14.00,N/A,20.00,N/A,4,N/A,N/A,5,95.00,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9999
"2021-12-09 18:19:28","2021-12-09 18:19:28",chunk-en7ca,80.17,81.16,6,17.14,N/A,17.00,78.05,5,4,NA,4,83.29,NA,5,N/A,NA,2783149E-B45E-473C-87AB-A71471D8B938,F7920E96-CCFD-404A-A208-2E3AF63791F0,NA,2,F505B6E5-9F08-4EE0-B174-024D1080BA3D,N/A,39500C87-8F95-404F-86DD-126E40E2BDA4,N/A,9999
"2021-12-09 18:52:54","2021-12-09 18:52:53",gods-7bf9h,74.00,16.00,N/A,24.00,N/A,79.00,N/A,5,6,N/A,2,78.00,N/A,4,N/A,N/A,da0bd13d-e515-4fc6-8633-b52c790925d6,13c8b860-3e01-4e19-b5de-ce96ca7af60e,N/A,2,f4749cb6-2503-4b4b-a973-879187c75aed,N/A,9b6c3001-b7e3-4076-a045-b42eb5ee807c,N/A,9999
"2021-12-09 20:02:20","2021-12-09 20:02:19",gods-7bf9h,77.00,78.00,N/A,16.00,N/A,24.00,N/A,5,6,N/A,4,78.00,N/A,5,N/A,N/A,649778f4-dc16-46ee-8c1e-83e1e51537d3,230efd9e-ef66-4cd9-a07d-ca64fe8974c2,N/A,N/A,dba048d1-1ee6-4b5b-8c58-ccd6ff2c6cd9,N/A,N/A,N/A,9999
"2021-12-09 20:02:34","2021-12-09 20:02:34",chunk-en7ca,N/A,82.58,5,80.31,N/A,21.53,86.40,6,6,NA,5,79.18,NA,N/A,N/A,NA,N/A,F0809C7E-FBFF-4918-9E0A-AE10CFC2D52E,N/A,N/A,N/A,N/A,N/A,N/A,9999
"2021-12-09 20:02:34","2021-12-09 20:02:34",chunk-en7ca,92.21,76.77,6,N/A,N/A,15.44,82.01,5,3,NA,6,N/A,NA,5,N/A,NA,3EE89D0C-3668-4E16-A7C6-43879CB67DE2,9C88DFF7-1AB0-4A5E-9B0B-7AF3937643F3,NA,2,77B4A08A-12AC-470B-9330-287F5AA4C941,N/A,D9C75407-A4CD-4E9A-9A99-FECA351B8A82,N/A,9999
"2021-12-09 20:06:53","2021-12-09 20:06:51",gods-7bf9h,96.00,75.00,N/A,24.00,N/A,71.00,N/A,5,4,N/A,3,80.00,N/A,4,N/A,N/A,f3d91978-f8ce-4604-b49a-c763187bb68f,68da03b5-6a3c-4a37-8615-3e9d35b1eecf,N/A,2,454e1f21-cee0-4c8b-9738-3643ba5f1740,N/A,10f3dfb9-5eb5-433b-a7d5-57b64996fc5b,N/A,9999
"2021-12-09 20:08:37","2021-12-09 20:08:37",chunk-en7ca,85.27,85.27,6,31.87,N/A,24.22,76.77,5,5,NA,4,90.23,NA,4,N/A,NA,D8CD1F5F-2660-493F-8D70-B5767EB3A79E,61E33F8E-840F-4393-B9A2-4DA208316EC9,NA,2,7E9E23EB-8E79-489B-B394-DE6AF2D71479,N/A,6DE8D475-8976-42D8-A250-2EA2712B31A4,N/A,9999
"2021-12-13 17:59:27","2021-12-13 17:59:26",cupel-64qt6,72.00,70.00,N/A,75.00,N/A,75.00,N/A,7,6,N/A,10,70.00,N/A,4,N/A,N/A,N/A,c28725ea-2386-4c17-83a9-694bc944647d,N/A,N/A,N/A,N/A,N/A,N/A,"test, test"
"2021-12-13 19:18:00","2021-12-13 19:17:59",cupel-64qt6,73.00,N/A,N/A,88.00,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"test, test"
"2021-12-13 19:20:40","2021-12-13 19:20:39",cupel-64qt6,88.00,N/A,N/A,85.00,N/A,N/A,N/A,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"test, test"
"2021-12-13 21:15:45","2021-12-13 21:15:44",firn-mn8kt,74.00,24.00,N/A,79.00,N/A,77.00,N/A,7,6,N/A,"10,11",83.00,N/A,4,N/A,N/A,N/A,a05cf4cc-5644-4866-92b2-48407f92dc83,N/A,N/A,N/A,N/A,N/A,N/A,test
"2021-12-13 21:18:15","2021-12-13 21:18:14",firn-mn8kt,77.00,72.00,N/A,82.00,N/A,21.00,N/A,8,7,N/A,7,77.00,N/A,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,test
"2021-12-14 13:15:42","2021-12-14 13:15:38",chis-uo0yf,73.00,72.00,N/A,28.00,N/A,27.00,N/A,5,8,N/A,4,72.00,N/A,5,N/A,N/A,bdef0cc1-60a6-43a3-9360-4d518939b2f5,f505d329-7552-4f0c-907f-3cd66d79c740,N/A,1,66fc9bbf-ec18-4f8c-aa41-866698f7319f,3,0e32b1d5-471f-4af0-9ae1-60c0d5fc038c,N/A,Android_9999
"2021-12-14 14:19:42","2021-12-14 14:19:42",bocce-z4w84,76.69,78.27,4,24.25,N/A,18.74,80.31,4,4,NA,4,66.93,NA,4,N/A,NA,38DAE7B2-3E5C-4C32-9383-1F104AD9DABA,4DA756F0-D84C-47F6-8B13-742BA32ABCBD,NA,1,09BE4F45-7C18-4AE0-AD92-1CA3D461BD0E,3,E9B00FD4-6810-4DC5-9713-97D3E87C51F0,N/A,iOS_9999
"2021-12-15 11:43:59","2021-12-15 11:43:54",devon-m7k3r,23.00,11.00,N/A,22.00,N/A,85.00,N/A,5,4,N/A,3,29.00,N/A,3,N/A,N/A,4b01a536-8a99-4fa7-8ed8-e89587b86434,d2fe9fb4-fb12-4588-a1a6-abf1effd0e8c,N/A,2,1c975242-1eac-4c1c-a690-ae26513583d5,N/A,f0bdc2ab-d6ac-4364-9c0d-6549aa53d838,N/A,Android_15Nov2021
"2021-12-15 11:47:50","2021-12-15 11:47:49",char-w1s9d,75.12,76.69,3,73.07,N/A,84.88,69.29,4,6,NA,3,81.10,NA,3,N/A,NA,652D755C-2E54-4811-875D-DF0E7595C2C6,115A4D9F-8D2F-4AD5-9C8D-E486821E9AF1,NA,2,97F1BC59-BD5A-439C-9D46-510D6ED095AF,N/A,329D1A68-5EDF-47B8-A8B7-287715CD5E2D,N/A,"iOS_15Nov2021, iOS_19Jan2022"
"2021-12-15 12:00:12","2021-12-15 12:00:12",char-w1s9d,85.83,82.05,4,17.32,N/A,14.80,80.16,4,4,NA,3,81.73,NA,4,N/A,NA,N/A,90449E97-03A5-4241-B77A-BF80A361E923,N/A,N/A,N/A,N/A,N/A,N/A,"iOS_15Nov2021, iOS_19Jan2022"
"2021-12-15 12:00:12","2021-12-15 12:00:12",char-w1s9d,75.12,75.43,4,88.98,N/A,18.27,77.48,4,4,NA,4,75.12,NA,4,N/A,NA,F962AD9F-D7BE-4A88-9E7D-475649BFC284,662E88B9-C36D-42C6-9884-DBCEF804387D,NA,2,2C5D7B30-B555-4EC1-9106-3D992BFCF49F,N/A,572F439F-9F40-42AC-8236-8E12B384E06F,N/A,"iOS_15Nov2021, iOS_19Jan2022"
"2021-12-15 12:00:12","2021-12-15 12:00:12",char-w1s9d,83.31,81.10,4,76.38,N/A,79.84,80.79,4,4,NA,4,77.95,NA,3,N/A,NA,N/A,ECDBB33C-2E26-472A-8936-7FA5CD215CF8,N/A,N/A,N/A,N/A,N/A,N/A,"iOS_15Nov2021, iOS_19Jan2022"
"2021-12-15 12:00:14","2021-12-15 12:00:10",devon-m7k3r,68.00,23.00,N/A,24.00,N/A,24.00,N/A,4,5,N/A,3,15.00,N/A,2,N/A,N/A,0fff6884-488e-4745-b716-744220529756,9cfd31b0-c516-4445-8936-de4b7cf5e693,N/A,2,6c10db1e-9600-48b5-b4fc-bc49ca93b46f,N/A,c497bb61-ff7f-42b9-8c8a-354bf38c649a,N/A,Android_15Nov2021
"2021-12-16 12:43:17","2021-12-16 12:43:16",hull-u76j7,88.00,N/A,N/A,14.00,N/A,N/A,N/A,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"test, test"
"2022-01-03 09:48:32","2022-01-03 09:48:32",site-2ox1f,81.59,17.99,6,23.09,N/A,81.59,24.22,5,5,NA,5,85.84,NA,5,N/A,NA,3DDC8C80-AE79-4E84-8C2E-90D70878DC0A,81A45CE2-84B7-4E04-A0FF-D6A17B7D1B11,NA,2,D3E0FB3D-F426-4BA0-A38D-F4166DF14B79,N/A,66A472BB-42CC-4FFE-82B7-EA1A0C4B89A8,N/A,9999_iOS_2022
"2022-01-03 09:48:34","2022-01-03 09:48:33",culls-mv5st,83.00,81.00,N/A,19.00,N/A,12.00,N/A,5,6,N/A,3,89.00,N/A,5,N/A,N/A,11fb40cd-52d7-4328-98b4-193146930b5d,fc92fff9-1012-491a-aca2-3a715d8da532,N/A,2,f5491e61-2aa9-47ec-b6c4-42c9510af42c,N/A,82a5c55c-033e-49dd-82c0-194063f388cf,N/A,9999_Android_2022
"2022-01-04 12:29:19","2022-01-04 12:29:17",found-s1i5l,85.00,88.00,N/A,20.00,N/A,20.00,N/A,5,"7,4",N/A,4,85.00,N/A,4,N/A,N/A,N/A,8084849c-5408-438c-9e79-e40468bc25a7,N/A,N/A,N/A,N/A,N/A,N/A,testing2022
"2022-01-06 14:40:35","2022-01-06 14:40:34",genu-za0ct,77.00,15.00,N/A,16.00,N/A,79.00,N/A,7,4,N/A,4,76.00,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,found-s1i5l
"2022-01-07 16:17:30","2022-01-07 16:17:29",genu-za0ct,22.00,84.00,N/A,24.00,N/A,24.00,N/A,5,"7,3",N/A,"2,4",86.00,N/A,4,N/A,N/A,N/A,981918d6-6347-49ae-8329-b95e05dc2ccf,N/A,N/A,N/A,N/A,N/A,N/A,found-s1i5l
"2022-01-08 11:00:00","2022-01-08 10:59:57",found-711jx,17.00,87.00,N/A,81.00,N/A,23.00,N/A,4,1,N/A,"4,6",26.00,N/A,4,N/A,N/A,1b2d05a6-5971-4e38-a705-8e4609a14806,25e55124-4a9b-4d29-a43f-a0ebe828840e,N/A,1,c70dfe93-3e2f-4a2b-b8f0-fe013b4ac94a,3,41b02131-234f-40ba-bdac-6782024f7894,N/A,08Jan2022
